smiles,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
O=C(O[C@@H]1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]([C@@H]2O)[C@H]1O)c1cc(O)c(O)c(O)c1,13.4543305997618,-2.2161662270509677,13.4543305997618,0.5077329973281592,0.09789164014597279,634.4550000000004,612.2790000000003,634.080613864,238,0,0.34031598128078433,-0.5041437395684489,0.5041437395684489,0.34031598128078433,0.6666666666666666,1.1555555555555554,1.6888888888888889,1.6105316979929278,1725.386202108154,33.0656669528507,22.180346787639756,22.180346787639756,21.114876416076566,12.5360707073683,12.5360707073683,9.79184251867433,9.79184251867433,6.99034824780982,6.99034824780982,4.7118932011561405,4.7118932011561405,-5.85,5029687455.578359,30.60266518880351,11.0110265443049,5.071374802309799,248.493726746451,75.11925315844796,18.814814740009524,52.45451560848394,17.789050395903022,0.0,17.90791586385555,0.0,14.383611552215466,0.0,0.0,0.0,24.26546827384644,11.126902983393991,16.690354475090988,89.50286471066343,17.90791586385555,0.0,0.0,0.0,30.70589228032842,6.606881964512918,40.95582274893743,0.0,62.872509482949134,0.0,0.0,51.745606499555144,0.0,111.39249145194466,18.947451815200196,0.0,31.07396602730645,24.26546827384644,0.0,11.126902983393991,0.0,310.65999999999997,134.78355406673703,70.55541289546322,0.0,0.0,24.26546827384644,0.0,0.0,0.0,0.0,0.0,18.947451815200196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.5,0.2222222222222222,45,11,18,0,2,2,3,0,3,18,11,18,2,0,1,1,5,-0.29650000000000065,138.8793
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,14.70737711355845,-1.4006977404590728,14.70737711355845,0.1296104351757319,0.18428343482926154,812.0179999999997,746.4979999999998,811.4731432799999,322,0,0.41043606518068704,-0.45750160330158407,0.45750160330158407,0.41043606518068704,1.0172413793103448,1.7241379310344827,2.3620689655172415,1.433018751220468,1740.3154469653934,42.68914100752344,36.12221823170397,36.12221823170397,27.35915322035959,20.765271350934057,20.765271350934057,17.324129391779422,17.324129391779422,12.817124642628675,12.817124642628675,9.431301116576458,9.431301116576458,-3.7600000000000002,2859184098270.0776,45.32658940647265,18.660074978896265,9.331029340387971,342.6301213786695,43.15776127333326,23.90908376802294,17.67432248668384,0.0,0.0,12.062545358890265,19.367590073162674,9.77851570501903,0.0,0.0,27.694948798762496,86.02713501567015,68.14885152727103,35.872072485241254,47.96899090012823,23.62903525162014,0.0,24.334876151386727,23.671624184645573,148.03043767865933,27.749897912544487,37.050584926526994,0.0,11.257379486545457,0.0,4.794537184071822,0.0,0.0,134.8120122709838,44.61268272712828,23.671624184645573,87.49400571215504,37.050584926526994,0.0,11.257379486545457,0.0,171.85,83.36328283359623,24.28467613112799,0.0,30.77069540911322,32.35197768060318,11.257379486545457,14.033534740968157,51.31586574760367,62.663142651604375,9.967957041894417,23.684314769000245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9920865152930873,133.17458015137362,0.7209302325581395,58,1,15,0,3,3,0,2,2,14,1,15,11,0,3,3,5,4.929200000000005,214.2507999999992
O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]([C@H]1O)[C@@H]2O)c1cc(O)c(O)c(O)c1,13.4543305997618,-2.2161662270509668,13.4543305997618,0.5077329973281592,0.09789164014597279,634.4550000000004,612.2790000000003,634.080613864,238,0,0.34031598128078433,-0.5041437395684489,0.5041437395684489,0.34031598128078433,0.6666666666666666,1.1555555555555554,1.6888888888888889,1.6105316979929278,1725.386202108154,33.0656669528507,22.180346787639756,22.180346787639756,21.114876416076566,12.5360707073683,12.5360707073683,9.79184251867433,9.79184251867433,6.99034824780982,6.99034824780982,4.7118932011561405,4.7118932011561405,-5.85,5029687455.578359,30.60266518880351,11.0110265443049,5.071374802309799,248.493726746451,75.11925315844796,18.814814740009524,52.45451560848394,17.789050395903022,0.0,17.90791586385555,0.0,14.383611552215466,0.0,0.0,0.0,24.26546827384644,11.126902983393991,16.690354475090988,89.50286471066343,17.90791586385555,0.0,0.0,0.0,30.70589228032842,6.606881964512918,40.95582274893743,0.0,62.872509482949134,0.0,0.0,51.745606499555144,0.0,111.39249145194466,18.947451815200196,0.0,31.07396602730645,24.26546827384644,0.0,11.126902983393991,0.0,310.65999999999997,134.78355406673703,70.55541289546322,0.0,0.0,24.26546827384644,0.0,0.0,0.0,0.0,0.0,18.947451815200196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.5,0.2222222222222222,45,11,18,0,2,2,3,0,3,18,11,18,2,0,1,1,5,-0.29650000000000065,138.8793
CO[C@@H](CC[C@H](C)[C@H]1O[C@@]23C[C@H](OC(=O)C[C@H]([C@@H](C)O)OC(=O)C[C@](O)(O2)[C@H](C)CC3(C)C)[C@@H]1C)c1cccc(O)c1,13.13582040001858,-1.8805289597870631,13.13582040001858,0.03864564961787287,0.3905917014721064,592.7260000000005,544.3420000000004,592.324747736,236,0,0.31116006592862394,-0.5079546555744774,0.5079546555744774,0.31116006592862394,1.0714285714285714,1.7857142857142858,2.4285714285714284,1.662139072743432,1120.2685090797418,31.03480494807372,25.870222737141713,25.870222737141713,19.592792017410346,15.085799123529634,15.085799123529634,13.386639227246818,13.386639227246818,9.701008075965003,9.701008075965003,6.970878411225825,6.970878411225825,-2.2399999999999998,781763778.8828146,32.669201486575055,12.399811513730983,6.625059177719294,248.17587623743105,39.00389695352236,17.95744460878051,11.574222305141193,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,46.751420135376335,49.80029374325026,30.78142172592311,31.153542409096925,48.592971321666,11.938610575903699,0.0,0.0,23.16870860788096,122.1614071795825,7.109797541277533,29.828919765543436,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,70.35807815783775,33.27338913714389,23.16870860788096,91.73477081514508,24.26546827384644,0.0,0.0,0.0,140.98000000000002,65.68241657052228,24.90865655266576,0.0,36.530933559207014,19.26246486877803,5.563451491696996,6.923737199690624,25.30889874666236,33.761315867224106,6.923737199690624,23.684314769000245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.58333333333331,0.75,42,3,10,0,3,3,1,0,1,10,3,10,7,0,3,3,4,4.386700000000004,151.9113999999998
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)N2C(=O)OC[C@@H]2C)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)CC3CC3)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCc3ccc(Cl)c(Cl)c3)C(=O)O[C@]12C,15.00753475349324,-1.518982826033724,15.00753475349324,0.04550139598774994,0.17253539550541316,954.9829999999997,885.4309999999997,953.4207446280001,364,0,0.4194868090588904,-0.45772334913327395,0.45772334913327395,0.4194868090588904,1.0,1.6923076923076923,2.292307692307692,1.4222598451705961,1923.1109965720948,47.868785572285006,39.62267842048719,41.13453631252409,30.54069377071164,23.132138318267657,23.888067264286107,19.675756599740705,20.490156853221922,14.628786276683117,15.367815555421137,10.71486266804664,11.035551052091296,-3.25,78783086337574.11,51.147803307663175,20.542743353401885,10.73639277268058,392.64756836544814,43.16447780229153,30.702026074122763,11.8910775403189,0.0,0.0,24.249025500767093,14.488984098994122,19.28352128306594,0.0,0.0,56.96319564768914,103.80537939346799,43.99486932073482,45.85583791842025,62.23725399180015,53.23415022759706,0.0,14.699729192551434,29.589530230806965,166.97604731225968,33.85386430029279,33.807819324564484,0.0,0.0,0.0,14.383611552215466,0.0,23.20187978046503,149.82987411230494,49.16793666767,29.589530230806965,99.98119440354266,18.19910120538483,10.045266627482652,0.0,0.0,179.91,101.91232524600439,24.284676131127995,4.794537184071822,43.92233377953871,28.804815919496065,29.849760874312068,12.009707272128011,67.5226317344482,20.037776250829424,4.899909730850478,56.35992045706538,0.0,12.534596925791558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.1876252964307,0.7659574468085106,65,1,16,1,4,5,1,0,1,14,1,18,11,1,4,5,6,7.296800000000008,239.30279999999922
CO[C@@H](CC[C@H](C)[C@H]1O[C@@]23C[C@H](OC(=O)C[C@H]([C@@H](C)O)OC(=O)C[C@](O)(O2)[C@H](C)CC3(C)C)[C@@H]1C)c1cc(O)ccc1Br,13.163283143827478,-1.8881908055170906,13.163283143827478,0.058297954984463995,0.3336440322770497,671.6220000000004,624.2460000000003,670.2352598039998,242,0,0.31116006592862394,-0.5079532796007833,0.5079532796007833,0.31116006592862394,1.0930232558139534,1.7906976744186047,2.441860465116279,1.668467151088165,1172.80257392197,31.9050484360768,26.170836940961316,27.75683348007602,20.003475619933305,15.191448026700915,15.984446296258266,13.497468569446129,14.35180546862065,9.785474829879934,10.507645350794895,7.00341613866443,7.505367794278945,-1.7599999999999998,1149168442.511634,34.11963401992747,12.924145868939027,7.068433655374317,262.0434238430724,39.00389695352236,17.95744460878051,11.574222305141193,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,50.54862989640247,55.86666081171187,35.254141241755526,31.153542409096925,48.592971321666,27.868554473853045,0.0,0.0,23.16870860788096,122.1614071795825,7.109797541277533,28.23527221291424,0.0,5.749511833283905,0.0,0.0,5.749511833283905,15.929943897949348,70.35807815783775,33.27338913714389,23.16870860788096,91.73477081514508,22.671820721217244,0.0,0.0,0.0,140.98000000000002,65.68241657052228,24.90865655266576,0.0,36.530933559207014,19.26246486877803,10.03617100752941,6.923737199690624,25.30889874666236,27.694948798762496,22.85368109763997,23.684314769000245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8326353635909014,99.60720742950217,0.75,43,3,10,0,3,3,1,0,1,10,3,11,7,0,3,3,4,5.149200000000006,159.61139999999975
C[C@@H](CCCc1cccc(O)c1)[C@H]1O[C@@]23C[C@H](OC(=O)C[C@H]([C@@H](C)O)OC(=O)C[C@](O)(O2)[C@H](C)CC3(C)C)[C@@H]1C,13.070505891294982,-1.853888225848349,13.070505891294982,0.056122868900646106,0.43565641080800227,562.7000000000003,516.3320000000004,562.314183052,224,0,0.31116006592862394,-0.5079563858335042,0.5079563858335042,0.31116006592862394,1.075,1.8,2.475,1.6382930812447063,1070.64068030541,29.457454678884098,24.59173095867477,24.59173095867477,18.6441036124266,14.598478538204851,14.598478538204851,13.05208823788394,13.05208823788394,9.32578069079411,9.32578069079411,6.751078302431991,6.751078302431991,-2.2,306622801.6448437,30.751557093425603,11.587040221695935,6.3238395295106065,236.6973888935276,34.267033999722315,17.957444608780513,11.574222305141193,0.0,0.0,11.938610575903699,9.589074368143644,0.0,0.0,0.0,46.751420135376335,56.22111536617628,23.671624184645573,25.049576021348624,43.85610836786596,11.938610575903699,0.0,0.0,23.16870860788096,122.47826241476021,0.0,29.828919765543436,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,63.24828061656021,34.95734780626985,23.16870860788096,85.63080442739678,24.26546827384644,0.0,0.0,0.0,131.75,59.57845018277398,24.90865655266576,0.0,36.530933559207014,6.4208216229260096,24.825916360475023,6.923737199690624,12.13273413692322,39.827682935685715,6.923737199690624,18.947451815200196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.25000000000003,0.7419354838709677,40,3,9,0,3,3,1,0,1,9,3,9,6,0,3,3,4,4.241700000000003,145.86539999999985
O=C(O)C[C@@H]1C(=O)O[C@H]2[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC[C@H]2O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]3OC(=O)c2cc(O)c(O)c3c2[C@H]1[C@H](O)C(=O)O3,14.613698051594074,-2.579653251490372,14.613698051594074,0.36075644343102664,0.05538453915072675,954.6640000000004,924.4240000000001,954.0974457000003,356,0,0.34066734484534583,-0.5041437395684174,0.5041437395684174,0.34066734484534583,0.5882352941176471,1.1029411764705883,1.6911764705882353,1.3890281632323482,2897.7312256941354,49.5294040890589,33.44901986983176,33.44901986983176,31.994794269186276,19.174933914215416,19.174933914215416,15.212817462028392,15.212817462028392,11.176888582456847,11.176888582456847,8.037022943311378,8.037022943311378,-9.11,360415231570865.7,45.457928201458664,16.398391963952193,7.312529631177413,374.0338871537173,99.54289680952954,12.71084835226122,70.05750566280005,29.64252861693523,0.0,41.78513701566294,9.589074368143644,23.97268592035911,0.0,0.0,0.0,30.33183534230805,22.608260521252383,34.592533635875384,133.1046570980323,41.78513701566294,0.0,0.0,5.917906046161393,49.148586337164126,6.606881964512918,58.14909280079303,0.0,80.12104498280085,4.736862953800049,0.0,68.99414199940686,0.0,151.58673378118175,42.80478927501576,5.917906046161393,59.33413386385966,30.33183534230805,0.0,11.126902983393991,0.0,447.0900000000001,211.3968138047873,99.94661642143195,0.0,0.0,30.33183534230805,0.0,0.0,0.0,0.0,0.0,33.15804067660034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.49999999999994,0.24390243902439024,68,13,27,0,4,4,4,0,4,26,13,27,4,0,1,1,8,-0.0017000000000008675,205.84639999999987
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccc(-c4cn(CCCCCCC(=O)NO)nn4)cc3)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C2=NCCN3C(=O)O[C@@]1(C)[C@H]3[C@H]2C,14.498104941721405,-1.187829616174665,14.498104941721405,0.20251795601677403,0.06744446634714542,924.15,850.5659999999997,923.5368061560001,366,0,0.4104993855670199,-0.4575016134862683,0.4575016134862683,0.4104993855670199,1.0303030303030303,1.7424242424242424,2.4242424242424243,1.1755864866540042,2032.1386456668909,48.08648223302196,40.47482905944699,40.47482905944699,31.346647765603546,23.799388374355267,23.799388374355267,19.497278838429985,19.497278838429985,14.622414547362014,14.622414547362014,10.925160899033257,10.925160899033257,-4.330000000000001,157701936470259.6,51.0694320532961,21.744886948340177,10.996179622810681,388.57936485507474,28.79084216384095,23.81976681650646,17.67432248668384,5.907179729351506,0.0,12.062545358890265,39.06489170647457,10.274633782193025,0.0,5.098681808301038,70.01544541411582,78.32808643392812,62.31767779787971,36.592424393153905,53.17624392490552,29.464655037377412,0.0,30.273785898923247,28.664028917281243,173.83765895335,27.246982335779876,36.02576333715651,0.0,11.257379486545457,5.480096598121202,4.794537184071822,0.0,0.0,145.81078265416906,51.15743913304086,23.671624184645573,112.31992207263008,35.45471657809519,0.0,11.257379486545457,0.0,216.47,71.52747074127343,24.284676131127995,0.0,29.888799038570554,58.283133738280355,41.79498084979118,6.923737199690624,24.413541069939836,76.810472761735,22.135713834497007,33.8839725264132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8188427446973476,151.68115725530262,0.7291666666666666,66,3,18,0,4,4,1,1,2,16,3,18,15,0,3,3,6,5.360600000000008,243.10599999999917
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccc(-c4cn(CCCCCCCC(=O)NO)nn4)cc3)[C@H]2O)[C@](C)(OC)C[C@@H](C)C2=NCCN3C(=O)O[C@@]1(C)[C@H]3[C@H]2C,14.506276883811973,-1.1867468557195282,14.506276883811973,0.20143519556163714,0.06010149888026302,938.1769999999999,862.5769999999997,937.5524562200001,372,0,0.4104993855670199,-0.4575016134862683,0.4575016134862683,0.4104993855670199,1.0149253731343284,1.7164179104477613,2.4029850746268657,1.1591003428198678,2049.786515437074,48.79358901420851,41.181935840633535,41.181935840633535,31.846647765603546,24.299388374355267,24.299388374355267,19.850832229023258,19.850832229023258,14.872414547362014,14.872414547362014,11.101937594329891,11.101937594329891,-4.330000000000001,255886709410150.2,52.04934139959678,22.39864781034122,11.585303067996698,394.94430696947137,28.79084216384095,23.81976681650646,17.67432248668384,5.907179729351506,0.0,12.062545358890265,39.06489170647457,10.274633782193025,0.0,5.098681808301038,76.43626703704183,78.32808643392812,62.31767779787971,36.592424393153905,53.17624392490552,29.464655037377412,0.0,30.273785898923247,28.664028917281243,180.258480576276,27.246982335779876,36.02576333715651,0.0,11.257379486545457,5.480096598121202,4.794537184071822,0.0,0.0,145.81078265416906,51.15743913304086,23.671624184645573,118.74074369555609,35.45471657809519,0.0,11.257379486545457,0.0,216.47,71.52747074127343,24.284676131127995,0.0,29.888799038570554,45.31755570944176,61.181380501555786,6.923737199690624,24.413541069939836,76.810472761735,22.135713834497007,33.8839725264132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8454055210296947,153.15459447897032,0.7346938775510204,67,3,18,0,4,4,1,1,2,16,3,18,16,0,3,3,6,5.750700000000007,247.72299999999913
