IDs,Aff,RF,DNN,Dock_score,emodel,Tanimoto
CHEMBL3685088,9.7,8.92,8.57,-13.18312422,-85.30487128,0.792452812
CHEMBL3685116,7.43,8.5,8.01,-11.38267842,-67.27126075,0.830188692
CHEMBL1775043,5.7,6.64,5.58,-4.652370119,-62.54120025,0.694915235
CHEMBL3689545,8,8.4,7.77,-10.00558519,-57.35082329,0.826923072
CHEMBL3689547,9.7,8.89,7.63,-14.68058281,-116.5799769,0.796610177
CHEMBL2397801,6.05,6.2,5.22,-9.485006598,-79.63747819,0.872340441
CHEMBL2397809,5.6,6.09,5.37,-10.65435509,-79.14910823,0.920000017
CHEMBL3685166,9.1,8.61,8.86,-12.16817645,-67.94463018,0.791666687
CHEMBL378175,4.7,6.15,4.65,-8.930904523,-61.72039543,0.731707335
CHEMBL475336,6.4,6.41,5.48,-6.93608604,-53.67490661,0.851851881
CHEMBL3685074,9.3,8.82,9.06,-12.72625119,-80.14027988,0.764705896
CHEMBL3689699,9.76,8.57,7.79,-12.25696684,-77.45685416,0.851063848
CHEMBL3689627,8.15,8.78,8.75,-12.85096097,-69.96208296,0.867924511
CHEMBL1775036,6.86,6.49,6.5,-7.005757409,-68.81446272,0.875
CHEMBL408291,6.12,6.48,5.67,-8.340884243,-96.1854248,0.80392158
CHEMBL3689712,7.66,8.34,6.32,-13.69400895,-95.19138653,0.5
CHEMBL3685184,9.7,8.62,8.48,-14.14116182,-78.62736126,0.777777791
CHEMBL2397798,6.18,6.19,6.22,-10.6179872,-77.84703827,0.854545474
CHEMBL3685024,9.3,8.72,8.31,-13.03310311,-82.31635595,0.843137264
CHEMBL3689592,9.7,8.93,8.2,-13.84758273,-165.6708679,0.689189196
CHEMBL3685014,9.05,8.78,9.63,-13.4117482,-79.97856659,0.754716992
CHEMBL3685010,9.4,8.73,7.22,-12.70552505,-81.63005966,0.773584902
CHEMBL3639885,9.69,8.84,8.55,-12.35855056,-54.54763788,0.872340441
CHEMBL3685084,8.7,8.6,8.01,-12.42124985,-78.07882016,0.678571403
CHEMBL3689538,9.3,9.02,7.95,-15.60726069,-147.7563058,0.86153847
CHEMBL272999,7.14,6.44,6.68,-8.756159914,-90.67314571,0.857142866
CHEMBL3685086,7.38,8.74,8.05,-13.26829662,-84.66646743,0.823529422
CHEMBL291273,5.82,6.22,4.71,-5.597718611,-55.51618404,0.813559294
CHEMBL3685138,9.15,8.08,8.01,-11.78930756,-72.22891235,0.680851042
CHEMBL3685149,8.05,9.02,8.17,-12.06930745,-64.64067457,0.666666687
CHEMBL401447,6.82,6.47,6.12,-3.023928185,-75.58176116,0.866666675
CHEMBL3689722,10.73,9.05,10.1,-13.41814143,-79.07015228,0.796296299
CHEMBL3685038,8.52,8.46,7.59,-12.56691612,-79.11228281,0.891304374
CHEMBL3689554,10.7,9.23,9.64,-14.3734961,-77.54132843,0.683333337
CHEMBL3689623,9,8.75,7.51,-14.271119,-116.2314495,0.783333361
CHEMBL473516,6.72,6.28,6,-5.023596392,-69.72283172,0.814814806
CHEMBL255522,7.08,6.47,6.29,-7.92355861,-104.2064056,0.735849082
CHEMBL3685144,8.15,8.48,7.87,-12.58837763,-78.98302834,0.782608688
CHEMBL3689611,9,8.63,6.67,-11.53520371,-67.50524661,0.803278685
CHEMBL3689659,9.52,8.75,8.38,-3.455193475,-66.76323439,0.74242425
CHEMBL3685087,9.15,8.53,8.91,-12.37027318,-75.70708255,0.680000007
CHEMBL1775037,6.57,6.48,6.6,-6.012997849,-72.38425324,0.788732409
CHEMBL3689681,7.96,8.55,7.95,-13.27950746,-81.46196096,0.689655185
CHEMBL3689680,9.52,8.61,8.39,-11.8408934,-78.0198325,0.692307711
CHEMBL3685160,9,8.86,9.2,-14.07874407,-87.14125682,0.80392158
CHEMBL475337,6.41,6.4,4.96,-7.361227544,-51.68070163,0.857142866
CHEMBL3685178,10.05,9.06,9.26,-13.056699,-77.3697052,0.773584902
CHEMBL2397804,7.68,6.16,5.74,-10.65764624,-78.78025818,0.857142866
CHEMBL3689549,9.3,9.12,8.76,-14.86595261,-118.1707611,0.772727251
CHEMBL3689727,9.35,8.48,7.83,-13.23363898,-80.13759045,0.758620679
CHEMBL3685111,8.7,8.52,7.41,-11.81923483,-76.2243056,0.882352948
CHEMBL3689622,7.38,8.36,7.18,-11.72288196,-62.36066536,0.93617022
CHEMBL408966,7.1,6.26,5.69,-10.89348068,-81.56108081,0.875
CHEMBL270454,6.04,6.46,5.36,-7.800046891,-87.29633276,0.826086938
CHEMBL3689614,9,8.85,7.47,-14.122525,-118.2881805,0.706896544
CHEMBL3685082,7.57,8.48,7.45,-12.35443864,-77.11792616,0.928571403
CHEMBL473727,6.49,6.25,4.84,-6.376316134,-50.55536133,0.781818211
CHEMBL312214,5.32,6.28,5.7,-5.029580692,-59.21268751,0.886792481
CHEMBL3394092,6.92,6.29,5.98,-6.22331276,-68.22711688,0.86153847
CHEMBL236375,7.05,6.57,5.74,-5.247979023,-69.60662035,0.830508471
